*165*s*400 rwf transferred to robert brown (250788999999) from 36521838 at 2024-06-07 16:51:27 . fee was: 20 rwf. new balance: 16890 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1000 rwf transferred to linda green (250788999999) from 36521838 at 2024-06-07 17:29:00 . fee was: 20 rwf. new balance: 15870 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to robert brown (250789888888) from 36521838 at 2024-06-07 20:08:37 . fee was: 100 rwf. new balance: 14270 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*8000 rwf transferred to jane smith (250790777777) from 36521838 at 2024-06-07 20:36:44 . fee was: 100 rwf. new balance: 6170 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*800 rwf transferred to linda green (250788999999) from 36521838 at 2024-06-07 20:42:24 . fee was: 20 rwf. new balance: 5350 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1000 rwf transferred to robert brown (250790777777) from 36521838 at 2024-06-11 07:52:49 . fee was: 20 rwf. new balance: 4330 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to samuel carter (250789888888) from 36521838 at 2024-06-11 08:36:42 . fee was: 100 rwf. new balance: 2730 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2000 rwf transferred to jane smith (250790777777) from 36521838 at 2024-06-11 09:47:27 . fee was: 100 rwf. new balance: 630 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*500 rwf transferred to samuel carter (250789888888) from 36521838 at 2024-06-11 14:05:01 . fee was: 20 rwf. new balance: 110 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1700 rwf transferred to alex doe (250790777777) from 36521838 at 2024-06-11 17:03:44 . fee was: 100 rwf. new balance: 3310 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2000 rwf transferred to robert brown (250788999999) from 36521838 at 2024-06-12 09:24:17 . fee was: 100 rwf. new balance: 1210 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to alex doe (250789888888) from 36521838 at 2024-06-12 13:21:47 . fee was: 100 rwf. new balance: 1110 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*500 rwf transferred to linda green (250788999999) from 36521838 at 2024-06-12 17:47:49 . fee was: 20 rwf. new balance: 12590 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*5000 rwf transferred to linda green (250790777777) from 36521838 at 2024-06-12 17:51:31 . fee was: 100 rwf. new balance: 7490 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1000 rwf transferred to alex doe (250791666666) from 36521838 at 2024-06-12 17:52:30 . fee was: 20 rwf. new balance: 6470 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1000 rwf transferred to jane smith (250789888888) from 36521838 at 2024-06-13 09:22:59 . fee was: 20 rwf. new balance: 2050 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1800 rwf transferred to robert brown (250791666666) from 36521838 at 2024-06-13 09:51:51 . fee was: 100 rwf. new balance: 150 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
